Initial Mass,Initial Metallicity,Overshooting factor,Core Mass,Envelope Mass,Final Fate,Explosion,Termination Code
0.8000,0.0001,0.0000,0.781,0.011,COWD,NO,logQ_limit
0.8000,0.0001,0.0140,0.782,0.01,COWD,NO,v_surf_div_v_kh_upper_limit
0.8000,0.0001,0.0160,0.782,0.01,COWD,NO,min_timestep_limit
0.8000,0.0010,0.0000,0.765,0.012,COWD,NO,logQ_limit
0.8000,0.0010,0.0140,0.765,0.011,COWD,NO,min_timestep_limit
0.8000,0.0010,0.0160,0.765,0.011,COWD,NO,v_surf_div_v_kh_upper_limit
0.8000,0.0200,0.0000,0.7,0.017,COWD,NO,min_timestep_limit
0.8000,0.0200,0.0140,0.702,0.017,COWD,NO,logQ_limit
0.8000,0.0200,0.0160,0.702,0.017,COWD,NO,logQ_limit
0.9000,0.0001,0.0000,0.883,0.005,COWD,NO,logQ_limit
0.9000,0.0001,0.0140,0.884,0.005,COWD,NO,logQ_limit
0.9000,0.0001,0.0160,0.884,0.005,COWD,NO,logQ_limit
0.9000,0.0010,0.0000,0.863,0.006,COWD,NO,logQ_limit
0.9000,0.0010,0.0140,0.864,0.006,COWD,NO,logQ_limit
0.9000,0.0010,0.0160,0.864,0.006,COWD,NO,logQ_limit
0.9000,0.0200,0.0000,0.782,0.01,COWD,NO,logQ_limit
0.9000,0.0200,0.0140,0.784,0.01,COWD,NO,v_surf_div_v_kh_upper_limit
0.9000,0.0200,0.0160,0.784,0.01,COWD,NO,min_timestep_limit
1.0000,0.0001,0.0000,0.971,0.011,COWD*,NO,max_model_number
1.0000,0.0001,0.0140,0.971,0.011,COWD*,NO,max_model_number
1.0000,0.0001,0.0160,0.971,0.011,COWD*,NO,max_model_number
1.0000,0.0010,0.0000,0.953,0.012,COWD*,NO,max_model_number
1.0000,0.0010,0.0140,0.954,0.012,COWD*,NO,max_model_number
1.0000,0.0010,0.0160,0.954,0.012,COWD*,NO,max_model_number
1.0000,0.0200,0.0000,0.876,0.024,COWD*,NO,max_model_number
1.0000,0.0200,0.0140,0.879,0.023,COWD*,NO,max_model_number
1.0000,0.0200,0.0160,0.879,0.022,COWD*,NO,max_model_number
1.1000,0.0001,0.0000,1.064,0.01,COWD*,NO,max_model_number
1.1000,0.0001,0.0140,1.066,0.009,COWD*,NO,max_model_number
1.1000,0.0001,0.0160,1.065,0.01,COWD*,NO,max_model_number
1.1000,0.0010,0.0000,1.047,0.009,COWD*,NO,max_model_number
1.1000,0.0010,0.0140,1.048,0.009,COWD*,NO,max_model_number
1.1000,0.0010,0.0160,1.048,0.009,COWD*,NO,max_model_number
1.1000,0.0200,0.0000,0.973,0.011,COWD*,NO,max_model_number
1.1000,0.0200,0.0140,0.976,0.01,COWD*,NO,max_model_number
1.1000,0.0200,0.0160,0.976,0.01,COWD*,NO,max_model_number
1.2000,0.0001,0.0000,1.161,0.006,COWD*,NO,max_model_number
1.2000,0.0001,0.0140,1.163,0.006,COWD*,NO,max_model_number
1.2000,0.0001,0.0160,1.163,0.006,COWD*,NO,max_model_number
1.2000,0.0010,0.0000,1.138,0.006,COWD*,NO,max_model_number
